"Specify a comment which will be displayed when an admin user adds or deducts points manually.","Specify a comment which will be displayed when an admin user adds or deducts points manually."
"Spending Configuration","Spending Configuration"
"Spend Points on Specific Products","Spend Points on Specific Products"
"Enable this setting if you’d like to restrict spending points on specific products.","Enable this setting if you’d like to restrict spending points on specific products."
SKU,SKU
"Enter the details in either SKU or Category ID field below to make this feature work.
                            Otherwise, it’ll be ignored and reward points will be applied to all products.","Enter the details in either SKU or Category ID field below to make this feature work.
                            Otherwise, it’ll be ignored and reward points will be applied to all products."
"Category ID","Category ID"
"Add Tooltip in Reward Point Block","Add Tooltip in Reward Point Block"
"Add a tooltip in the Reward Point block that will notify customers about details of your spending configuration.","Add a tooltip in the Reward Point block that will notify customers about details of your spending configuration."
"Tooltip Text","Tooltip Text"
"Specify the message of the tooltip in this block. Limited to 500 symbols.","Specify the message of the tooltip in this block. Limited to 500 symbols."
"Display Options","Display Options"
"Highlight Point on Storefront","Highlight Point on Storefront"
"Show in Cart","Show in Cart"
"Reward Points will be promoted in the cart only if at least one reward rule of the type ""For every $X spent"" or ""Order Completed"" is active and properly configured.","Reward Points will be promoted in the cart only if at least one reward rule of the type ""For every $X spent"" or ""Order Completed"" is active and properly configured."
"Show on Checkout Page","Show on Checkout Page"
"Reward Points will be promoted on the checkout page only if at least one reward rule of the type ""For every $X spent"" or ""Order Completed"" is active and properly configured.","Reward Points will be promoted on the checkout page only if at least one reward rule of the type ""For every $X spent"" or ""Order Completed"" is active and properly configured."
"Show on Product Pages","Show on Product Pages"
"Reward Points will be promoted on product pages only if at least one reward rule of the type ""for every $X spent"" is active and properly configured.","Reward Points will be promoted on product pages only if at least one reward rule of the type ""for every $X spent"" is active and properly configured."
"Show on Categories Pages","Show on Categories Pages"
"Reward Points will be promoted on categories pages only if at least one reward rule of the type ""for every $X spent"" is active and properly configured.","Reward Points will be promoted on categories pages only if at least one reward rule of the type ""for every $X spent"" is active and properly configured."
"Show Highlight for Guests","Show Highlight for Guests"
"Highlights will be displayed on the Checkout, Cart and Product pages for 'Get X Points for Registration',
                        'Get X Points for Completing Order' & 'Get X Points for Each $Y Spent' rules if they are configured and active.","Highlights will be displayed on the Checkout, Cart and Product pages for 'Get X Points for Registration',
                        'Get X Points for Completing Order' & 'Get X Points for Each $Y Spent' rules if they are configured and active."
"Show Link for Registration","Show Link for Registration"
"Link to registration page will shows in Checkout, Cart and Product page.","Link to registration page will shows in Checkout, Cart and Product page."
"Text Color","Text Color"
"Customer Account","Customer Account"
"Show Reward Points Description In Customer Account","Show Reward Points Description In Customer Account"
"Reward Points Description","Reward Points Description"
"Show Actual Reward Points Balance on Storefront","Show Actual Reward Points Balance on Storefront"
"Actual balance will display in the top menu after customer account.","Actual balance will display in the top menu after customer account."
"Customer Account Balance Label","Customer Account Balance Label"
"Reward Program Restriction","Reward Program Restriction"
"Enable Restriction Message","Enable Restriction Message"
"Disable this setting if you don’t want to show the note to the customers explaining that they have been excluded from the Reward Program.","Disable this setting if you don’t want to show the note to the customers explaining that they have been excluded from the Reward Program."
"Restriction Message Text","Restriction Message Text"
Order,Order
"Show Detailed Info","Show Detailed Info"
"Enable this setting to show details about earned, refunded, and subtracted points in the Order Information.","Enable this setting to show details about earned, refunded, and subtracted points in the Order Information."
"Email Notification","Email Notification"
"Email Sender","Email Sender"
"Send Email When Customer Earns Reward Points","Send Email When Customer Earns Reward Points"
"Reward Points Earned Template","Reward Points Earned Template"
"Subscribe Customers by Default","Subscribe Customers by Default"
"If set to 'Yes', make sure you notified customers about subscription in the Privacy Policy or GDPR.","If set to 'Yes', make sure you notified customers about subscription in the Privacy Policy or GDPR."
"Send Email When Customer's Reward Points Are About to Expire","Send Email When Customer's Reward Points Are About to Expire"
"Reward Points Expiring Template","Reward Points Expiring Template"
"Email Will Be Sent When Reward Points Expire In, Number of Days","Email Will Be Sent When Reward Points Expire In, Number of Days"
"Specify the number of N days before point expiration the notifying email will be sent to customers. Enter up to ten N days with a comma if you’d like to send more than one email. For example: 10, 5, 3","Specify the number of N days before point expiration the notifying email will be sent to customers. Enter up to ten N days with a comma if you’d like to send more than one email. For example: 10, 5, 3"
"No Items Found","No Items Found"
"Admin Name","Admin Name"
Activate,Activate
"Are you sure?","Are you sure?"
Inactivate,Inactivate
ID,ID
Name,Name
Inactive,Inactive
Active,Active
"Customer Group Catalog Rule","Customer Group Catalog Rule"
Back,Back
Websites,Websites
"Customer Groups","Customer Groups"
"Please note that if you select the ‘NOT LOGGED IN’ option
                    in several active rules ""Get X Points for Registration"" and ""Get X Points for Completing Order"",
                    their Reward Points will be summed up for a customer on the front, however, after registration,
                    the customer will receive the Reward Points according to the customer group assigned to him
                    and rules configured for this customer group. You can find the usage example in the
                    <a href=""https://amasty.com/docs/doku.php?id=magento_2:reward_points#earning_configuration"">User Guide</a>.","Please note that if you select the ‘NOT LOGGED IN’ option
                    in several active rules ""Get X Points for Registration"" and ""Get X Points for Completing Order"",
                    their Reward Points will be summed up for a customer on the front, however, after registration,
                    the customer will receive the Reward Points according to the customer group assigned to him
                    and rules configured for this customer group. You can find the usage example in the
                    <a href=""https://amasty.com/docs/doku.php?id=magento_2:reward_points#earning_configuration"">User Guide</a>."
Actions,Actions
"Please note that reward points will be added after the order obtains status ""Complete"".","Please note that reward points will be added after the order obtains status ""Complete""."
"Get X Points for Completing Order","Get X Points for Completing Order"
"Get X Points for Newsletter Subscription","Get X Points for Newsletter Subscription"
"Get X Points as a Birthday Gift","Get X Points as a Birthday Gift"
"Get X Points for Each $Y Spent","Get X Points for Each $Y Spent"
"Get X Points for Registration","Get X Points for Registration"
"Get X Points after Y Days of Inactivity","Get X Points after Y Days of Inactivity"
"Get X Points for Approved Product Review","Get X Points for Approved Product Review"
"Points Income (X)","Points Income (X)"
"Spent Amount","Spent Amount"
"Amount to spend ($Y)","Amount to spend ($Y)"
"Days Since Last Login (Y)","Days Since Last Login (Y)"
"Will be credited automatically, login not required","Will be credited automatically, login not required"
Recurring,Recurring
"Select ""Custom"", if you want to override default Amasty Rewards configuration and explicitly set expiration period for this rule on individual basis.","Select ""Custom"", if you want to override default Amasty Rewards configuration and explicitly set expiration period for this rule on individual basis."
Default,Default
"Earning Configuration","Earning Configuration"
"Skip Discounted Products","Skip Discounted Products"
"Select 'Yes if you'd like to restrict granting the reward points for products that have been discounted.","Select 'Yes if you'd like to restrict granting the reward points for products that have been discounted."
"Grant Points For Specific Products","Grant Points For Specific Products"
"Enable this setting if you’d like the customers to get reward points for purchasing specific products.","Enable this setting if you’d like the customers to get reward points for purchasing specific products."
"Specify a comma-separated list of SKUs customers can’t get the reward points for.","Specify a comma-separated list of SKUs customers can’t get the reward points for."
"Select categories of products customers can’t get the reward points for.","Select categories of products customers can’t get the reward points for."
"Specify a comma-separated list of SKUs customers can get the reward points for.","Specify a comma-separated list of SKUs customers can get the reward points for."
"Select categories of products customers can get the reward points for.","Select categories of products customers can get the reward points for."
"Enter the details in either SKU or Category field to make this feature work. Otherwise, it’ll be ignored and reward points will be granted for all products.","Enter the details in either SKU or Category field to make this feature work. Otherwise, it’ll be ignored and reward points will be granted for all products."
Category,Category
"Comments for Action in a Customer Account","Comments for Action in a Customer Account"
"Default Action Comment for All Store Views","Default Action Comment for All Store Views"
